"Monobank Integration","Monobank Integration"
MaGuru,MaGuru
General,General
"Enable Monobank Integration","Enable Monobank Integration"
"Debug Logging","Debug Logging"
"Logs all API requests and responses to var/log/mono_core.log","Logs all API requests and responses to var/log/mono_core.log"
"HTTP Request Timeout (s)","HTTP Request Timeout (s)"
"HTTP Connect Timeout (s)","HTTP Connect Timeout (s)"
"Acquiring API (Payment)","Acquiring API (Payment)"
"API Token (X-Token)","API Token (X-Token)"
"Merchant token from web.monobank.ua → Merchant section","Merchant token from web.monobank.ua → Merchant section"
"BNPL ""Частинами"" API","BNPL ""Частинами"" API"
"Environment","Environment"
"Sandbox: test environment (u2-demo-ext.mono.st4g3.com). Stage: pre-production (u2-ext.mono.st4g3.com). Production: live (u2.monobank.com.ua).","Sandbox: test environment (u2-demo-ext.mono.st4g3.com). Stage: pre-production (u2-ext.mono.st4g3.com). Production: live (u2.monobank.com.ua)."
"Production (u2.monobank.com.ua)","Production (u2.monobank.com.ua)"
"Sandbox / Test (u2-demo-ext.mono.st4g3.com)","Sandbox / Test (u2-demo-ext.mono.st4g3.com)"
"Stage / Pre-production (u2-ext.mono.st4g3.com)","Stage / Pre-production (u2-ext.mono.st4g3.com)"
"Store ID (Production)","Store ID (Production)"
"Unique store identifier provided by Monobank for BNPL integration","Unique store identifier provided by Monobank for BNPL integration"
"Store Secret (Production)","Store Secret (Production)"
"HMAC-SHA256 signing key provided by Monobank for BNPL integration","HMAC-SHA256 signing key provided by Monobank for BNPL integration"
"Store ID (Sandbox)","Store ID (Sandbox)"
"Sandbox Store ID. Default test value: test_store_with_confirm","Sandbox Store ID. Default test value: test_store_with_confirm"
"Store Secret (Sandbox)","Store Secret (Sandbox)"
"Sandbox signing key. Default test value: secret_98765432--123-123","Sandbox signing key. Default test value: secret_98765432--123-123"
"Store ID (Stage)","Store ID (Stage)"
"Stage Store ID provided by Monobank for pre-production testing","Stage Store ID provided by Monobank for pre-production testing"
"Store Secret (Stage)","Store Secret (Stage)"
"Stage signing key provided by Monobank for pre-production testing","Stage signing key provided by Monobank for pre-production testing"
"Chast Callback URL","Chast Callback URL"
"Validate Token","Validate Token"
"Payment Webhook URL","Payment Webhook URL"
